,Virus name,Tier,Subtype,Infection stage,Coreceptor,Country,Year,Accession,Alias,Seq data,Virus patient,Virus type,Seq name,IC50,PG9:IC50: by study
589,GX83_47,2,01_AE,<12mo,CCR5,CHINA,2008.0,GU475027,GX83.47,Yes,,panel,01_AE.CN.2008.GX83_47.GU475027,3.19,3.19: Nie2020
590,GX84_59,1,07_BC,,,CHINA,,HQ326146,GX84-59,Yes,,panel,07_BC.CN..GX84_59.HQ326146,5.86,5.86: Nie2020
591,GX88_47,2,01_AE,<12mo,CXCR4,CHINA,2008.0,GU475018,GX88.47,Yes,,panel,01_AE.CN.2008.GX88_47.GU475018,5.25,5.25: Nie2020
592,GX8C_31,3,01_AE,<12mo,CCR5,CHINA,2008.0,GU475039,GX8C.31,Yes,,panel,01_AE.CN.2008.GX8C_31.GU475039,1.92,1.92: Nie2020
593,GX90_1,2,01_AE,<12mo,CCR5,CHINA,2008.0,GU475019,GX90.1,Yes,,panel,01_AE.CN.2008.GX90_1.GU475019,4.5,4.5: Nie2020
594,GX91_2,1,01_AE,<12mo,CCR5,CHINA,2008.0,GU475013,GX91.2,Yes,,panel,01_AE.CN.2008.GX91_2.GU475013,0.93,0.93: Nie2020
595,GX93_8,2,07_BC,,,CHINA,,MN617364,GX93-8,Yes,,panel,07_BC.CN..GX93_8.MN617364,0.9,0.9: Nie2020
596,GZ187_10,3,01_AE,<12mo,CCR5,CHINA,2007.0,GU475036,GZ187.10,Yes,,panel,01_AE.CN.2007.GZ187_10.GU475036,5.43,5.43: Nie2020
597,GZ30_6,3,07_BC,,,CHINA,,MN617392,GZ30.6,Yes,,panel,07_BC.CN..GZ30_6.MN617392,0.8,0.8: Nie2020
598,GZ36_5,2,07_BC,,,CHINA,,MN617393,GZ36.5,Yes,,panel,07_BC.CN..GZ36_5.MN617393,0.29,0.29: Nie2020
599,GZ38_2,3,07_BC,,,CHINA,,MN617394,GZ38.2,Yes,,panel,07_BC.CN..GZ38_2.MN617394,3.52,3.52: Nie2020
600,H086_8,1B or 2,B,<12mo,,PERU,,EF210732,"H086, HO86_8, H086.8, HO86.8, H086.8*",Yes,H086,panel,B.PE..H086_8.EF210732,0.025454,0.0136: Huang2016a_dataset1;0.014: Chuang2013;0.014: Doria-Rose2012;0.014: Huang2012a;0.014: McLellan2011;0.0323: Chuang2019;0.051: Bricault2019;0.051: Bricault2019_dataset2;0.05100: Doria-Rose2016;0.051: Pancera2013
601,HB5_3,3,07_BC,chronic,CCR5,CHINA,,HQ326124,"HB5-3, HB5.3",Yes,,panel,07_BC.CN..HB5_3.HQ326124,1.07,1.07: Nie2020
602,HEB46_6,2,B,,,CHINA,,MN617382,HeB46.6,Yes,HEB46,panel,B.CN..HEB46_6.MN617382,0.27,0.27: Nie2020
603,HEB5_10,2,B,,,CHINA,,MN617374,HeB5.10,Yes,HEB5_10,panel,B.CN..HEB5_10.MN617374,0.75,0.75: Nie2020
604,HEB87_2,3,B,,,CHINA,,MN617377,HeB87.2,Yes,HEB87,panel,B.CN..HEB87_2.MN617377,40.0,>20: Nie2020
605,HN15A_27,3,B,,,CHINA,,MN642096,HN15A.27,Yes,HN15,panel,B.CN..HN15A_27.MN642096,0.98,0.98: Nie2020
606,HN18A_41,3,B,,,CHINA,,MN642097,HN18A.41,Yes,HN18,panel,B.CN..HN18A_41.MN642097,5.78,5.78: Nie2020
607,HN40_40,3,B,,,CHINA,,MN642098,HN40.40,Yes,HN40,panel,B.CN..HN40_40.MN642098,40.0,>20: Nie2020
608,HN6A_40,2,B,,,CHINA,,MN642095,HN6A.40,Yes,HN6A,panel,B.CN..HN6A_40.MN642095,6.87,6.87: Nie2020
609,HT593_1,,B,chronic,CCR5 CXCR4,HAITI,1992.0,U08444,"92HT593, HT593.1",Yes,HT593,panel,B.HT.1992.HT593_1.U08444,0.28427,0.214: Falkowska2012;0.214: Georgiev2013_dataset2;0.271: Chuang2013;0.271: Doria-Rose2012;0.271: Georgiev2013_dataset1;0.271: Huang2012a;0.271: Huang2016a_dataset1;0.271: McLellan2011;0.308: Chuang2019;0.345: Bricault2019;0.345: Bricault2019_dataset2;0.34500: Doria-Rose2016;0.345: Pancera2013
610,HUB199_1,2,01_AE,<3mo,CCR5,CHINA,2006.0,GU475025,HuB199.1,Yes,,panel,01_AE.CN.2006.HUB199_1.GU475025,1.08,1.08: Nie2020
611,HUB32_3,1,B,,,CHINA,,MN617375,HuB32.3,Yes,HUB32,panel,B.CN..HUB32_3.MN617375,40.0,>20: Nie2020
