,PG9,10-1074,PGT121,b12,2G12,3BNC117,PGDM1400,2F5,VCR01,4E10
255,0.04,0.001,0.08111,80.0,100.0,0.034,0.073,100.0,4.6104400000000005,25.0388
256,200.0,0.008,0.001,100.0,100.0,0.031,0.053,8.4,0.14324,5.2
257,0.6864,0.018,0.001,50.0,100.0,0.019,0.047,19.4112,0.54438,13.052
258,0.051327,0.026,0.001,23.3,100.0,0.015,0.051,100.0,0.68967,0.06
259,0.058917,0.001,0.001,22.0,100.0,0.011,0.047,50.0,0.56625,9.0
260,200.0,0.029,100.0,50.0,44.1,0.015,0.096,50.0,0.20909,17.0292
261,0.028864,0.084,100.0,50.0,100.0,0.017,0.065,100.0,0.20492,0.56454
262,0.007746,0.015,100.0,0.098307,100.0,0.006,100.0,50.0,0.26061,0.35
263,0.03873,100.0,100.0,100.0,50.0,0.01,2.169,50.0,2.64,3.0
264,0.11415,0.043,100.0,50.0,2.46,0.031,2.481,50.0,1.6,2.77849
265,0.2155,40.0,100.0,50.0,100.0,0.009,0.782,50.0,0.41,4.90902
266,0.21043,0.001,100.0,50.0,50.0,0.02,0.231,2.37529,0.88,3.6
267,0.0498,0.015357,100.0,50.0,50.0,0.019,0.288,50.0,0.68,3.6
268,41.79,100.0,100.0,1.14,100.0,40.0,0.317,100.0,0.21134,0.105
269,100.0,50.0,20.0,100.0,2.48195,40.0,0.424,50.0,1.1759,4.36
270,3.33218,100.0,20.0,100.0,50.0,0.027916,0.235,50.0,1.16,2.9
271,1.18,20.0,5.252,300.0,50.0,100.0,0.22,50.0,1.37,23.17
272,100.0,0.028933,3.26,9.46,50.0,0.1018,0.155,100.0,0.1469099999999999,18.9
273,0.44098,0.0066747,0.083,400.0,50.0,0.031545,0.163,100.0,0.42,35.2
274,1.3,0.0080362,100.0,400.0,50.0,0.087642,0.085,100.0,1.40872,4.5
275,0.44145,0.014841,3.021,11.844,100.0,0.13639,0.108,100.0,0.15708,2.53772
276,0.046476,0.22888,36.731,300.0,50.0,100.0,0.015,50.0,0.251,1.15
277,0.90615,0.006299,4.787,100.0,50.0,0.1389,4.3,50.0,0.59,1.01973
278,4.11071,40.0,0.072,100.0,50.0,0.048113,0.039,50.0,1.25,6.8
279,100.0,40.0,15.419,100.0,100.0,0.027546,0.18463,1.54783,5.62,17.13
280,0.006,40.0,1.003,1.01,100.0,0.1384,0.070908,100.0,20.0,7.1
281,100.0,2.057,2.217,100.0,100.0,1.141,0.37,3.09,2.56,11.0
282,0.028,0.17,45.141,100.0,100.0,0.304,0.96,7.4,3.68,2.51058
283,33.4602,0.002129,100.0,0.07,50.0,0.707,2.06,16.5,0.1228,13.32
284,0.59564,0.0056829,100.0,300.0,50.0,0.268,4.51,6.26658,2.93,1.10577
285,40.608,12.928,100.0,0.93,50.0,0.141,8.88,50.0,1.17,19.9774
